Summary (d_model, nhead, num_layers, dim_f -> best_epoch, best_val, test_mse, test_mae)
d_model=128, nhead= 4, layers= 4, dim_f= 256 -> best_epoch= 21, best_val=7.178078, test_mse=7.106800, test_mae=2.248125
d_model=128, nhead= 4, layers= 4, dim_f= 512 -> best_epoch= 28, best_val=7.178326, test_mse=7.105970, test_mae=2.248156
d_model=128, nhead= 8, layers= 1, dim_f=  64 -> best_epoch=128, best_val=0.000239, test_mse=0.000264, test_mae=0.012745
d_model=128, nhead= 8, layers= 1, dim_f= 128 -> best_epoch=123, best_val=0.000625, test_mse=0.000651, test_mae=0.021423
d_model=128, nhead= 8, layers= 1, dim_f= 256 -> best_epoch=107, best_val=0.000524, test_mse=0.000676, test_mae=0.018519
d_model=128, nhead= 8, layers= 1, dim_f= 512 -> best_epoch= 84, best_val=0.000229, test_mse=0.000218, test_mae=0.010396
d_model=128, nhead= 8, layers= 2, dim_f=  64 -> best_epoch= 53, best_val=0.002272, test_mse=0.002269, test_mae=0.041338
d_model=128, nhead= 8, layers= 2, dim_f= 128 -> best_epoch=146, best_val=0.011720, test_mse=0.008185, test_mae=0.063312
d_model=128, nhead= 8, layers= 2, dim_f= 256 -> best_epoch=144, best_val=0.000454, test_mse=0.000532, test_mae=0.016962
d_model=128, nhead= 8, layers= 2, dim_f= 512 -> best_epoch= 83, best_val=0.000447, test_mse=0.000465, test_mae=0.017379
d_model=128, nhead= 8, layers= 3, dim_f=  64 -> best_epoch=109, best_val=0.004545, test_mse=0.003667, test_mae=0.049618
d_model=128, nhead= 8, layers= 3, dim_f= 128 -> best_epoch=120, best_val=0.007166, test_mse=0.007461, test_mae=0.073164
d_model=128, nhead= 8, layers= 3, dim_f= 256 -> best_epoch=  7, best_val=6.417123, test_mse=6.240774, test_mae=2.102377
d_model=128, nhead= 8, layers= 3, dim_f= 512 -> best_epoch= 19, best_val=4.687281, test_mse=4.542837, test_mae=1.712222
d_model=128, nhead= 8, layers= 4, dim_f=  64 -> best_epoch= 14, best_val=1.928392, test_mse=2.032164, test_mae=1.238315
d_model=128, nhead= 8, layers= 4, dim_f= 128 -> best_epoch= 85, best_val=7.178412, test_mse=7.111758, test_mae=2.248156
d_model=128, nhead= 8, layers= 4, dim_f= 256 -> best_epoch= 38, best_val=1.798886, test_mse=2.094566, test_mae=1.220470
d_model=128, nhead= 8, layers= 4, dim_f= 512 -> best_epoch= 62, best_val=7.178616, test_mse=7.113408, test_mae=2.248156
d_model=256, nhead= 1, layers= 1, dim_f=  64 -> best_epoch=116, best_val=0.005918, test_mse=0.005995, test_mae=0.060254
d_model=256, nhead= 1, layers= 1, dim_f= 128 -> best_epoch=122, best_val=0.001491, test_mse=0.001592, test_mae=0.030399
d_model=256, nhead= 1, layers= 1, dim_f= 256 -> best_epoch=147, best_val=0.000394, test_mse=0.000348, test_mae=0.014899
d_model=256, nhead= 1, layers= 1, dim_f= 512 -> best_epoch=140, best_val=0.002157, test_mse=0.002239, test_mae=0.036709
d_model=256, nhead= 1, layers= 2, dim_f=  64 -> best_epoch= 69, best_val=13.568675, test_mse=12.894659, test_mae=2.975946
d_model=256, nhead= 1, layers= 2, dim_f= 128 -> best_epoch=  1, best_val=7.252357, test_mse=7.263753, test_mae=2.256016
d_model=256, nhead= 1, layers= 2, dim_f= 256 -> best_epoch=  1, best_val=7.177022, test_mse=7.100044, test_mae=2.247962
d_model=256, nhead= 1, layers= 2, dim_f= 512 -> best_epoch=  1, best_val=7.267019, test_mse=7.125672, test_mae=2.264556
d_model=256, nhead= 1, layers= 3, dim_f=  64 -> best_epoch= 67, best_val=7.182529, test_mse=7.096823, test_mae=2.248156
d_model=256, nhead= 1, layers= 3, dim_f= 128 -> best_epoch= 81, best_val=7.178311, test_mse=7.106144, test_mae=2.248156
d_model=256, nhead= 1, layers= 3, dim_f= 256 -> best_epoch= 32, best_val=7.177809, test_mse=7.109116, test_mae=2.248062
d_model=256, nhead= 1, layers= 3, dim_f= 512 -> best_epoch= 73, best_val=7.178224, test_mse=7.108184, test_mae=2.248156
d_model=256, nhead= 1, layers= 4, dim_f=  64 -> best_epoch= 69, best_val=7.178268, test_mse=7.106691, test_mae=2.248155
d_model=256, nhead= 1, layers= 4, dim_f= 128 -> best_epoch=  3, best_val=7.178224, test_mse=7.108989, test_mae=2.248155
d_model=256, nhead= 1, layers= 4, dim_f= 256 -> best_epoch= 32, best_val=7.178360, test_mse=7.111219, test_mae=2.248156
d_model=256, nhead= 1, layers= 4, dim_f= 512 -> best_epoch= 32, best_val=7.179145, test_mse=7.101962, test_mae=2.248156
d_model=256, nhead= 2, layers= 1, dim_f=  64 -> best_epoch=118, best_val=0.000868, test_mse=0.000821, test_mae=0.020564
d_model=256, nhead= 2, layers= 1, dim_f= 128 -> best_epoch=134, best_val=0.002843, test_mse=0.003046, test_mae=0.043202
d_model=256, nhead= 2, layers= 1, dim_f= 256 -> best_epoch=119, best_val=0.000676, test_mse=0.000662, test_mae=0.019946
d_model=256, nhead= 2, layers= 1, dim_f= 512 -> best_epoch= 54, best_val=0.000840, test_mse=0.000756, test_mae=0.021790
d_model=256, nhead= 2, layers= 2, dim_f=  64 -> best_epoch=134, best_val=0.051478, test_mse=0.052457, test_mae=0.189085
d_model=256, nhead= 2, layers= 2, dim_f= 128 -> best_epoch=149, best_val=0.059280, test_mse=0.054458, test_mae=0.206804
d_model=256, nhead= 2, layers= 2, dim_f= 256 -> best_epoch= 61, best_val=2.000421, test_mse=1.945742, test_mae=1.142704
d_model=256, nhead= 2, layers= 2, dim_f= 512 -> best_epoch= 19, best_val=7.149046, test_mse=7.151859, test_mae=2.245378
d_model=256, nhead= 2, layers= 3, dim_f=  64 -> best_epoch= 10, best_val=7.177019, test_mse=7.069252, test_mae=2.248066
d_model=256, nhead= 2, layers= 3, dim_f= 128 -> best_epoch=  3, best_val=7.082290, test_mse=7.079534, test_mae=2.225798
d_model=256, nhead= 2, layers= 3, dim_f= 256 -> best_epoch=143, best_val=1.828253, test_mse=2.182287, test_mae=1.258713
d_model=256, nhead= 2, layers= 3, dim_f= 512 -> best_epoch= 45, best_val=7.179198, test_mse=7.101811, test_mae=2.248156
d_model=256, nhead= 2, layers= 4, dim_f=  64 -> best_epoch= 69, best_val=7.178274, test_mse=7.106629, test_mae=2.248156
d_model=256, nhead= 2, layers= 4, dim_f= 128 -> best_epoch=  3, best_val=7.178252, test_mse=7.109668, test_mae=2.248156
d_model=256, nhead= 2, layers= 4, dim_f= 256 -> best_epoch= 32, best_val=7.178471, test_mse=7.104780, test_mae=2.248156
d_model=256, nhead= 2, layers= 4, dim_f= 512 -> best_epoch= 32, best_val=7.179112, test_mse=7.102062, test_mae=2.248156
d_model=256, nhead= 4, layers= 1, dim_f=  64 -> best_epoch=127, best_val=0.000310, test_mse=0.000396, test_mae=0.013577
d_model=256, nhead= 4, layers= 1, dim_f= 128 -> best_epoch=104, best_val=0.000891, test_mse=0.001113, test_mae=0.023702
d_model=256, nhead= 4, layers= 1, dim_f= 256 -> best_epoch=109, best_val=0.001026, test_mse=0.001124, test_mae=0.025702
d_model=256, nhead= 4, layers= 1, dim_f= 512 -> best_epoch=138, best_val=0.000933, test_mse=0.001030, test_mae=0.021593
d_model=256, nhead= 4, layers= 2, dim_f=  64 -> best_epoch=109, best_val=0.000830, test_mse=0.000942, test_mae=0.025239
d_model=256, nhead= 4, layers= 2, dim_f= 128 -> best_epoch=140, best_val=0.067352, test_mse=0.059434, test_mae=0.186722
d_model=256, nhead= 4, layers= 2, dim_f= 256 -> best_epoch=  8, best_val=1.702646, test_mse=1.993104, test_mae=1.228311
