Summary (d_model, nhead, num_layers, dim_f -> best_epoch, best_val, test_mse, test_mae)
d_model= 32, nhead= 8, layers= 4, dim_f= 256 -> best_epoch=125, best_val=0.005130, test_mse=0.004429, test_mae=0.048645
d_model= 32, nhead= 8, layers= 4, dim_f= 512 -> best_epoch=155, best_val=0.016122, test_mse=0.017122, test_mae=0.102294
d_model= 64, nhead= 1, layers= 1, dim_f=  64 -> best_epoch=140, best_val=0.000946, test_mse=0.001073, test_mae=0.028139
d_model= 64, nhead= 1, layers= 1, dim_f= 128 -> best_epoch=111, best_val=0.001022, test_mse=0.001165, test_mae=0.026247
d_model= 64, nhead= 1, layers= 1, dim_f= 256 -> best_epoch=103, best_val=0.001633, test_mse=0.001592, test_mae=0.030625
d_model= 64, nhead= 1, layers= 1, dim_f= 512 -> best_epoch=126, best_val=0.001008, test_mse=0.001123, test_mae=0.028028
d_model= 64, nhead= 1, layers= 2, dim_f=  64 -> best_epoch= 92, best_val=0.000488, test_mse=0.000502, test_mae=0.016312
d_model= 64, nhead= 1, layers= 2, dim_f= 128 -> best_epoch=133, best_val=0.000970, test_mse=0.001078, test_mae=0.024995
d_model= 64, nhead= 1, layers= 2, dim_f= 256 -> best_epoch= 86, best_val=0.000994, test_mse=0.000995, test_mae=0.025359
d_model= 64, nhead= 1, layers= 2, dim_f= 512 -> best_epoch=114, best_val=0.000466, test_mse=0.000493, test_mae=0.017265
d_model= 64, nhead= 1, layers= 3, dim_f=  64 -> best_epoch=117, best_val=0.000321, test_mse=0.000368, test_mae=0.015853
d_model= 64, nhead= 1, layers= 3, dim_f= 128 -> best_epoch= 99, best_val=0.000783, test_mse=0.001108, test_mae=0.023707
d_model= 64, nhead= 1, layers= 3, dim_f= 256 -> best_epoch= 18, best_val=1.743169, test_mse=2.066030, test_mae=1.252982
d_model= 64, nhead= 1, layers= 3, dim_f= 512 -> best_epoch=115, best_val=0.000979, test_mse=0.001000, test_mae=0.023504
d_model= 64, nhead= 1, layers= 4, dim_f=  64 -> best_epoch= 54, best_val=0.004283, test_mse=0.005177, test_mae=0.063860
d_model= 64, nhead= 1, layers= 4, dim_f= 128 -> best_epoch= 15, best_val=2.761117, test_mse=2.762671, test_mae=1.353643
d_model= 64, nhead= 1, layers= 4, dim_f= 256 -> best_epoch= 27, best_val=2.870189, test_mse=2.653884, test_mae=1.291169
d_model= 64, nhead= 1, layers= 4, dim_f= 512 -> best_epoch= 34, best_val=2.588603, test_mse=2.992864, test_mae=1.370759
d_model= 64, nhead= 2, layers= 1, dim_f=  64 -> best_epoch= 85, best_val=0.000382, test_mse=0.000427, test_mae=0.016380
d_model= 64, nhead= 2, layers= 1, dim_f= 128 -> best_epoch=120, best_val=0.000646, test_mse=0.000610, test_mae=0.019058
d_model= 64, nhead= 2, layers= 1, dim_f= 256 -> best_epoch=134, best_val=0.000934, test_mse=0.000927, test_mae=0.024318
d_model= 64, nhead= 2, layers= 1, dim_f= 512 -> best_epoch=114, best_val=0.000710, test_mse=0.000671, test_mae=0.021442
d_model= 64, nhead= 2, layers= 2, dim_f=  64 -> best_epoch=127, best_val=0.000239, test_mse=0.000257, test_mae=0.009671
d_model= 64, nhead= 2, layers= 2, dim_f= 128 -> best_epoch=119, best_val=0.000815, test_mse=0.000782, test_mae=0.021511
d_model= 64, nhead= 2, layers= 2, dim_f= 256 -> best_epoch= 98, best_val=0.000535, test_mse=0.000577, test_mae=0.018746
d_model= 64, nhead= 2, layers= 2, dim_f= 512 -> best_epoch=107, best_val=0.000539, test_mse=0.000534, test_mae=0.017705
d_model= 64, nhead= 2, layers= 3, dim_f=  64 -> best_epoch= 61, best_val=0.001095, test_mse=0.001256, test_mae=0.025642
d_model= 64, nhead= 2, layers= 3, dim_f= 128 -> best_epoch= 97, best_val=0.003932, test_mse=0.004030, test_mae=0.050188
d_model= 64, nhead= 2, layers= 3, dim_f= 256 -> best_epoch=105, best_val=0.000823, test_mse=0.001084, test_mae=0.022875
d_model= 64, nhead= 2, layers= 3, dim_f= 512 -> best_epoch= 24, best_val=0.045465, test_mse=0.042017, test_mae=0.164659
d_model= 64, nhead= 2, layers= 4, dim_f=  64 -> best_epoch= 73, best_val=0.001129, test_mse=0.001003, test_mae=0.026225
d_model= 64, nhead= 2, layers= 4, dim_f= 128 -> best_epoch= 10, best_val=0.911228, test_mse=1.167749, test_mae=0.935690
d_model= 64, nhead= 2, layers= 4, dim_f= 256 -> best_epoch=  6, best_val=7.179190, test_mse=7.099684, test_mae=2.248052
d_model= 64, nhead= 2, layers= 4, dim_f= 512 -> best_epoch=149, best_val=0.397014, test_mse=0.377103, test_mae=0.480977
d_model= 64, nhead= 4, layers= 1, dim_f=  64 -> best_epoch=102, best_val=0.000287, test_mse=0.000360, test_mae=0.014400
d_model= 64, nhead= 4, layers= 1, dim_f= 128 -> best_epoch=118, best_val=0.000677, test_mse=0.000839, test_mae=0.020452
d_model= 64, nhead= 4, layers= 1, dim_f= 256 -> best_epoch=104, best_val=0.000814, test_mse=0.000935, test_mae=0.023226
d_model= 64, nhead= 4, layers= 1, dim_f= 512 -> best_epoch= 71, best_val=0.000943, test_mse=0.000985, test_mae=0.025568
d_model= 64, nhead= 4, layers= 2, dim_f=  64 -> best_epoch= 87, best_val=0.000345, test_mse=0.000317, test_mae=0.013157
d_model= 64, nhead= 4, layers= 2, dim_f= 128 -> best_epoch=122, best_val=0.000293, test_mse=0.000275, test_mae=0.013504
d_model= 64, nhead= 4, layers= 2, dim_f= 256 -> best_epoch= 99, best_val=0.000564, test_mse=0.000628, test_mae=0.019397
d_model= 64, nhead= 4, layers= 2, dim_f= 512 -> best_epoch=123, best_val=0.000385, test_mse=0.000454, test_mae=0.016037
d_model= 64, nhead= 4, layers= 3, dim_f=  64 -> best_epoch=117, best_val=0.000266, test_mse=0.000279, test_mae=0.011698
d_model= 64, nhead= 4, layers= 3, dim_f= 128 -> best_epoch= 54, best_val=0.000832, test_mse=0.001036, test_mae=0.026214
d_model= 64, nhead= 4, layers= 3, dim_f= 256 -> best_epoch=101, best_val=0.002234, test_mse=0.002728, test_mae=0.040198
d_model= 64, nhead= 4, layers= 3, dim_f= 512 -> best_epoch=131, best_val=0.016450, test_mse=0.018566, test_mae=0.114683
d_model= 64, nhead= 4, layers= 4, dim_f=  64 -> best_epoch= 81, best_val=0.001510, test_mse=0.001499, test_mae=0.031867
d_model= 64, nhead= 4, layers= 4, dim_f= 128 -> best_epoch=126, best_val=0.809194, test_mse=0.791341, test_mae=0.749759
d_model= 64, nhead= 4, layers= 4, dim_f= 256 -> best_epoch= 17, best_val=4.614002, test_mse=4.393527, test_mae=1.663345
d_model= 64, nhead= 4, layers= 4, dim_f= 512 -> best_epoch=132, best_val=0.896758, test_mse=0.898629, test_mae=0.765122
d_model= 64, nhead= 8, layers= 1, dim_f=  64 -> best_epoch= 94, best_val=0.000297, test_mse=0.000315, test_mae=0.013930
d_model= 64, nhead= 8, layers= 1, dim_f= 128 -> best_epoch=134, best_val=0.000422, test_mse=0.000450, test_mae=0.015820
d_model= 64, nhead= 8, layers= 1, dim_f= 256 -> best_epoch= 78, best_val=0.000891, test_mse=0.000930, test_mae=0.022924
d_model= 64, nhead= 8, layers= 1, dim_f= 512 -> best_epoch=114, best_val=0.000477, test_mse=0.000579, test_mae=0.017531
d_model= 64, nhead= 8, layers= 2, dim_f=  64 -> best_epoch= 44, best_val=0.001444, test_mse=0.001586, test_mae=0.030908
d_model= 64, nhead= 8, layers= 2, dim_f= 128 -> best_epoch= 89, best_val=0.000406, test_mse=0.000419, test_mae=0.014430
d_model= 64, nhead= 8, layers= 2, dim_f= 256 -> best_epoch= 74, best_val=0.000523, test_mse=0.000731, test_mae=0.017726
d_model= 64, nhead= 8, layers= 2, dim_f= 512 -> best_epoch=102, best_val=0.000514, test_mse=0.000580, test_mae=0.018641
d_model= 64, nhead= 8, layers= 3, dim_f=  64 -> best_epoch= 28, best_val=0.006645, test_mse=0.007500, test_mae=0.074045
d_model= 64, nhead= 8, layers= 3, dim_f= 128 -> best_epoch=114, best_val=0.000428, test_mse=0.000537, test_mae=0.016862
d_model= 64, nhead= 8, layers= 3, dim_f= 256 -> best_epoch= 98, best_val=0.000827, test_mse=0.000924, test_mae=0.021979
d_model= 64, nhead= 8, layers= 3, dim_f= 512 -> best_epoch=138, best_val=0.000660, test_mse=0.000720, test_mae=0.022085
d_model= 64, nhead= 8, layers= 4, dim_f=  64 -> best_epoch= 63, best_val=0.001790, test_mse=0.001783, test_mae=0.037475
d_model= 64, nhead= 8, layers= 4, dim_f= 128 -> best_epoch= 75, best_val=0.000828, test_mse=0.000800, test_mae=0.022134
d_model= 64, nhead= 8, layers= 4, dim_f= 256 -> best_epoch=130, best_val=0.001333, test_mse=0.001305, test_mae=0.026593
