d_model,nhead,num_layers,dim_f,flow_hidden,flow_layers,num_of_samples,t_disc,best_val_mse,test_mse,test_mae
64,2,2,64,128,4,1000,100,0.0018334322795271873,0.0010520401317626238,0.025039706826210022
64,2,2,64,128,4,1000,300,0.002066908599808812,0.0021751332981511952,0.036143290996551516
64,2,2,64,128,4,1000,500,0.0021623303554952145,0.0023857198818586765,0.03805128812789917
64,2,2,64,128,4,10000,100,0.0004318488183198497,0.0004599368562921882,0.01617408388853073
64,2,2,64,128,4,10000,300,0.0003417001230409369,0.00036886735423468053,0.014731270074844361
64,2,2,64,128,4,10000,500,0.0007421570040751249,0.0007557462309487164,0.02114494401216507
